,CODIGO DEP,DEPARTAMENTO,CODIGO MUN,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUP DE CULTIVO,CULTIVO,DESAGREGACION REGIONAL Y/O SISTEMA PRODUCTIVO,YEAR,PERIODO,Area Sembrada (ha),Area Cosechada (ha),Produccion (t),Rendimiento (t/ha),ESTADO FISICO PRODUCCION,NOMBRE CIENTIFICO,CICLO DE CULTIVO
0,5,ANTIOQUIA,5607,RETIRO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,401,170,2380,14,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
1,5,ANTIOQUIA,5679,SANTA BARBARA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,310,300,2250,7.5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
2,5,ANTIOQUIA,5376,LA CEJA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,200,150,2175,14.5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
3,5,ANTIOQUIA,5490,NECOCLI,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,200,130,2600,20,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
4,5,ANTIOQUIA,5837,TURBO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,199,146,1495,10.24,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
5,5,ANTIOQUIA,5318,GUARNE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,180,120,1680,14,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
6,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,150,150,180,1.2,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
7,5,ANTIOQUIA,5467,MONTEBELLO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,139,119,1785,15,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
8,5,ANTIOQUIA,5045,APARTADO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,105,85,680,8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
9,5,ANTIOQUIA,5002,ABEJORRAL,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,96,83,706,8.5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
10,5,ANTIOQUIA,5615,RIONEGRO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,90,90,1080,12,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
11,5,ANTIOQUIA,5674,SAN VICENTE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,80,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
12,5,ANTIOQUIA,5756,SONSON,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,80,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
13,5,ANTIOQUIA,5861,VENECIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,79,54,864,16,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
14,5,ANTIOQUIA,5093,BETULIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,72,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
15,5,ANTIOQUIA,5789,TAMESIS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,48,15,228,15,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
16,5,ANTIOQUIA,5664,SAN PEDRO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,45,14,20,1.4,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
17,5,ANTIOQUIA,5847,URRAO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,42,12,96,8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
18,5,ANTIOQUIA,5282,FREDONIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,40,30,480,16,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
19,5,ANTIOQUIA,5440,MARINILLA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,40,40,440,11,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
20,5,ANTIOQUIA,5237,DON MATIAS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,38,5,30,6,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
21,5,ANTIOQUIA,5642,SALGAR,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,31,12,173,15,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
22,5,ANTIOQUIA,5541,PEÑOL,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,30,30,165,5.5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
23,5,ANTIOQUIA,5842,URAMITA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,25,5,18,3.6,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
24,5,ANTIOQUIA,5819,TOLEDO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,24,22,98,4.46,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
25,5,ANTIOQUIA,5364,JARDIN,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,20,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
26,5,ANTIOQUIA,5873,VIGIA DEL FUERTE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,20,12,120,10,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
27,5,ANTIOQUIA,5059,ARMENIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,19,8,38,4.8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
28,5,ANTIOQUIA,5361,ITUANGO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,18,13,130,10,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
29,5,ANTIOQUIA,5036,ANGELOPOLIS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,15,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
30,5,ANTIOQUIA,5206,CONCEPCION,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,14,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
31,5,ANTIOQUIA,5856,VALPARAISO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,14,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
32,5,ANTIOQUIA,5792,TARSO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,12,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
33,5,ANTIOQUIA,5034,ANDES,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,10,10,54,5.4,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
34,5,ANTIOQUIA,5145,CARAMANTA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,10,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
35,5,ANTIOQUIA,5001,MEDELLIN,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,10,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
36,5,ANTIOQUIA,5310,GOMEZ PLATA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,6,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
37,5,ANTIOQUIA,5591,PUERTO TRIUNFO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,6,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
38,5,ANTIOQUIA,5142,CARACOLI,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,5,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
39,5,ANTIOQUIA,5380,LA ESTRELLA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,4,4,20,5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
40,13,BOLIVAR,13244,EL CARMEN DE BOLIVAR,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,3400,2600,31200,12,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
41,13,BOLIVAR,13654,SAN JACINTO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,660,600,10800,18,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
42,13,BOLIVAR,13006,ACHI,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,80,80,800,10,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
43,13,BOLIVAR,13074,BARRANCO DE LOBA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,18,18,180,10,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
44,13,BOLIVAR,13268,EL PEÑON,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,10,10,100,10,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
45,15,BOYACA,15480,MUZO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,65,60,360,6,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
46,15,BOYACA,15681,SAN PABLO DE BORBUR,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,34,33,416,12.61,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
47,15,BOYACA,15212,COPER,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,27,23,276,12,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
48,15,BOYACA,15572,PUERTO BOYACA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,10,4,36,9,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
49,15,BOYACA,15531,PAUNA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,7,5,30,6,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
50,15,BOYACA,15753,SOATA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,3,2,16,8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
51,15,BOYACA,15514,PAEZ,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,1,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
52,17,CALDAS,17495,NORCASIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,249,229,1031,4.5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
53,17,CALDAS,17616,RISARALDA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,150,28,336,12,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
54,17,CALDAS,17388,LA MERCED,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,110,55,605,11,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
55,17,CALDAS,17433,MANZANARES,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,83,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
56,17,CALDAS,17042,ANSERMA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,80,80,720,9,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
57,17,CALDAS,17444,MARQUETALIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,78,45,308,6.87,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
58,17,CALDAS,17001,MANIZALES,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,69,56,480,8.57,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
59,17,CALDAS,17665,SAN JOSE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,45,31,245,7.9,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
60,17,CALDAS,17524,PALESTINA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,41,14,210,15,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
61,17,CALDAS,17088,BELALCAZAR,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,40,38,344,9.05,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
62,17,CALDAS,17873,VILLAMARIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,37,37,241,6.5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
63,17,CALDAS,17867,VICTORIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,35,26,281,10.82,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
64,17,CALDAS,17877,VITERBO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,33,18,220,12.22,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
65,17,CALDAS,17174,CHINCHINA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,32,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
66,17,CALDAS,17513,PACORA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,28,14,101,7.21,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
67,17,CALDAS,17662,SAMANA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,26,10,30,3,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
68,17,CALDAS,17272,FILADELFIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,15,15,180,12,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
69,17,CALDAS,17541,PENSILVANIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,10,9,140,15.01,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
70,85,CASANARE,85162,MONTERREY,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,8,4,50,12.5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
71,85,CASANARE,85250,PAZ DE ARIPORO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,2,2,8,4,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
72,85,CASANARE,85263,PORE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,2,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
73,19,CAUCA,19548,PIENDAMO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,28,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
74,19,CAUCA,19110,BUENOS AIRES,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,10,9,36,4,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
75,19,CAUCA,19760,SOTARA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,7,4,36,9,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
76,19,CAUCA,19300,GUACHENE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,3,3,14,4,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
77,19,CAUCA,19845,VILLA RICA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,2,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
78,20,CESAR,20001,VALLEDUPAR,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,713,713,5704,8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
79,20,CESAR,20400,LA JAGUA DE IBIRICO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,430,430,2150,5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
80,20,CESAR,20621,LA PAZ,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,300,300,3000,10,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
81,20,CESAR,20570,PUEBLO BELLO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,105,103,830,8.06,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
82,20,CESAR,20770,SAN MARTIN,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,90,80,640,8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
83,20,CESAR,20443,MANAURE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,65,65,500,7.69,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
84,20,CESAR,20013,AGUSTIN CODAZZI,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,60,40,320,8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
85,20,CESAR,20228,CURUMANI,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,33,33,231,7,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
86,20,CESAR,20517,PAILITAS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,30,30,240,8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
87,20,CESAR,20238,EL COPEY,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,18,18,144,8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
88,20,CESAR,20750,SAN DIEGO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,16,16,120,7.5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
89,20,CESAR,20178,CHIRIGUANA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,12,12,84,7,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
90,20,CESAR,20045,BECERRIL,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,11,11,91,8.27,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
91,20,CESAR,20614,RIO DE ORO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,3,3,24,8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
92,25,CUNDINAMARCA,25320,GUADUAS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,50,50,750,15,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
93,25,CUNDINAMARCA,25599,APULO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,45,40,120,3,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
94,25,CUNDINAMARCA,25368,JERUSALEN,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,30,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
95,25,CUNDINAMARCA,25718,SASAIMA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,29,21,110,5.24,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
96,25,CUNDINAMARCA,25506,VENECIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,15,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
97,25,CUNDINAMARCA,25436,MANTA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,10,10,80,8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
98,25,CUNDINAMARCA,25299,GAMA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,7,4,15,3.75,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
99,25,CUNDINAMARCA,25524,PANDI,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,5,3,12,4,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
100,25,CUNDINAMARCA,25823,TOPAIPI,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,2,2,2,1.14,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
101,25,CUNDINAMARCA,25807,TIBIRITA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,2,1,2,1.74,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
102,41,HUILA,41676,SANTA MARIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,32,29,580,20,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
103,41,HUILA,41306,GIGANTE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,26,19,190,10,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
104,41,HUILA,41660,SALADOBLANCO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,23,3,24,8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
105,41,HUILA,41020,ALGECIRAS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,21,12,132,11,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
106,41,HUILA,41244,ELIAS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,20,17,136,8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
107,41,HUILA,41551,PITALITO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,18,13,104,8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
108,41,HUILA,41298,GARZON,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,15,10,115,11.5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
109,41,HUILA,41396,LA PLATA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,15,11,189,17.2,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
110,41,HUILA,41078,BARAYA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,10,8,72,9,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
111,41,HUILA,41359,ISNOS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,8,6,42,7,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
112,41,HUILA,41799,TELLO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,6,6,60,10,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
113,41,HUILA,41319,GUADALUPE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,6,5,55,11,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
114,41,HUILA,41206,COLOMBIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,5,5,60,12,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
115,41,HUILA,41524,PALERMO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,5,4,36,9,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
116,41,HUILA,41797,TESALIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,2,1,8,10,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
117,41,HUILA,41503,OPORAPA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,1,1,7,7,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
118,44,LA GUAJIRA,44855,URUMITA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,94,77,308,4,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
119,44,LA GUAJIRA,44874,VILLANUEVA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,54,44,188,4.27,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
120,44,LA GUAJIRA,44090,DIBULLA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,42,34,177,5.21,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
121,44,LA GUAJIRA,44110,EL MOLINO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,39,37,159,4.3,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
122,44,LA GUAJIRA,44001,RIOHACHA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,35,28,137,4.89,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
123,44,LA GUAJIRA,44420,LA JAGUA DEL PILAR,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,26,24,96,4,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
124,44,LA GUAJIRA,44650,SAN JUAN DEL CESAR,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,21,17,68,4,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
125,44,LA GUAJIRA,44279,FONSECA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,13,13,55,4.23,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
126,44,LA GUAJIRA,44078,BARRANCAS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,10,10,40,4,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
127,44,LA GUAJIRA,44378,HATO NUEVO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,8,8,40,5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
128,44,LA GUAJIRA,44098,DISTRACCION,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,4,4,16,4,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
129,50,META,50270,EL DORADO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,64,36,511,14.19,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
130,50,META,50400,LEJANIAS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,44,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
131,50,META,50001,VILLAVICENCIO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,25,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
132,50,META,50313,GRANADA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,4,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
133,52,NARIÑO,52079,BARBACOAS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,6,5,25,5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
134,52,NARIÑO,52473,MOSQUERA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,6,6,81,13.5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
135,52,NARIÑO,52490,OLAYA HERRERA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,3,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
136,54,NORTE DE SANTANDER,54385,LA ESPERANZA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,35,30,369,12.3,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
